번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어,,
419,1,2017,정면,단어,KETI_SL_0000000419.MOV,화재,,
838,1,2017,측면,단어,KETI_SL_0000000838.MTS,화재,,
1255,2,2017,정면,단어,KETI_SL_0000001255.MTS,화재,,
1674,2,2017,측면,단어,KETI_SL_0000001674.MTS,화재,,
2032,3,2017,정면,단어,KETI_SL_0000002032.MOV,화재,,
2451,3,2017,측면,단어,KETI_SL_0000002451.MP4,화재,,
2932,4,2017,정면,단어,KETI_SL_0000002932.MOV,화재,,
3351,4,2017,측면,단어,KETI_SL_0000003351.MTS,화재,,
3760,5,2017,정면,단어,KETI_SL_0000003760.MOV,화재,,
4178,5,2017,측면,단어,KETI_SL_0000004178.MTS,화재,,
4607,6,2017,정면,단어,KETI_SL_0000004607.MOV,화재,,
5026,6,2017,측면,단어,KETI_SL_0000005026.MTS,화재,,
5445,7,2017,정면,단어,KETI_SL_0000005445.MOV,화재,,
5862,7,2017,측면,단어,KETI_SL_0000005862.MTS,화재,,
6284,8,2017,정면,단어,KETI_SL_0000006284.MOV,화재,,
6703,8,2017,측면,단어,KETI_SL_0000006703.MTS,화재,,
7123,9,2017,정면,단어,KETI_SL_0000007123.MOV,화재,,
7542,9,2017,측면,단어,KETI_SL_0000007542.MTS,화재,,
7961,10,2017,정면,단어,KETI_SL_0000007961.MOV,화재,,
8380,10,2017,측면,단어,KETI_SL_0000008380.MTS,화재,,
418,1,2017,정면,단어,KETI_SL_0000000418.MOV,화장실,,
837,1,2017,측면,단어,KETI_SL_0000000837.MTS,화장실,,
1254,2,2017,정면,단어,KETI_SL_0000001254.MTS,화장실,,
1673,2,2017,측면,단어,KETI_SL_0000001673.MTS,화장실,,
2031,3,2017,정면,단어,KETI_SL_0000002031.MOV,화장실,,
2450,3,2017,측면,단어,KETI_SL_0000002450.MP4,화장실,,
2931,4,2017,정면,단어,KETI_SL_0000002931.MOV,화장실,,
3350,4,2017,측면,단어,KETI_SL_0000003350.MTS,화장실,,
3759,5,2017,정면,단어,KETI_SL_0000003759.MOV,화장실,,
4177,5,2017,측면,단어,KETI_SL_0000004177.MTS,화장실,,
4606,6,2017,정면,단어,KETI_SL_0000004606.MOV,화장실,,
5025,6,2017,측면,단어,KETI_SL_0000005025.MTS,화장실,,
5444,7,2017,정면,단어,KETI_SL_0000005444.MOV,화장실,,
5861,7,2017,측면,단어,KETI_SL_0000005861.MTS,화장실,,
6283,8,2017,정면,단어,KETI_SL_0000006283.MOV,화장실,,
6702,8,2017,측면,단어,KETI_SL_0000006702.MTS,화장실,,
7122,9,2017,정면,단어,KETI_SL_0000007122.MOV,화장실,,
7541,9,2017,측면,단어,KETI_SL_0000007541.MTS,화장실,,
7960,10,2017,정면,단어,KETI_SL_0000007960.MOV,화장실,,
8379,10,2017,측면,단어,KETI_SL_0000008379.MTS,화장실,,
417,1,2017,정면,단어,KETI_SL_0000000417.MOV,화요일,,
836,1,2017,측면,단어,KETI_SL_0000000836.MTS,화요일,,
1253,2,2017,정면,단어,KETI_SL_0000001253.MTS,화요일,,
1672,2,2017,측면,단어,KETI_SL_0000001672.MTS,화요일,,
2030,3,2017,정면,단어,KETI_SL_0000002030.MOV,화요일,,
